AssignmentId,WorkerId,Input.condition,Input.trial1_sentence1,Input.trial1_sentence2,Input.trial1_sentence3,Input.trial1_sentence4,Input.trial1_end,Input.trial2_sentence1,Input.trial2_sentence2,Input.trial2_sentence3,Input.trial2_sentence4,Input.trial2_end,Input.trial3_sentence1,Input.trial3_sentence2,Input.trial3_sentence3,Input.trial3_sentence4,Input.trial3_end,Input.trial4_sentence1,Input.trial4_sentence2,Input.trial4_sentence3,Input.trial4_sentence4,Input.trial4_end,Input.trial5_sentence1,Input.trial5_sentence2,Input.trial5_sentence3,Input.trial5_sentence4,Input.trial5_end,Input.trial6_sentence1,Input.trial6_sentence2,Input.trial6_sentence3,Input.trial6_sentence4,Input.trial6_end,Input.trial7_sentence1,Input.trial7_sentence2,Input.trial7_sentence3,Input.trial7_sentence4,Input.trial7_end,Input.trial8_sentence1,Input.trial8_sentence2,Input.trial8_sentence3,Input.trial8_sentence4,Input.trial8_end,Input.trial9_sentence1,Input.trial9_sentence2,Input.trial9_sentence3,Input.trial9_sentence4,Input.trial9_end,Input.trial10_sentence1,Input.trial10_sentence2,Input.trial10_sentence3,Input.trial10_sentence4,Input.trial10_end,Answer.Age,Answer.Consent,Answer.Ethnicity,Answer.Gender,Answer.Race,Answer.curious10_1,Answer.curious10_2,Answer.curious10_3,Answer.curious10_4,Answer.curious1_1,Answer.curious1_2,Answer.curious1_3,Answer.curious1_4,Answer.curious2_1,Answer.curious2_2,Answer.curious2_3,Answer.curious2_4,Answer.curious3_1,Answer.curious3_2,Answer.curious3_3,Answer.curious3_4,Answer.curious4_1,Answer.curious4_2,Answer.curious4_3,Answer.curious4_4,Answer.curious5_1,Answer.curious5_2,Answer.curious5_3,Answer.curious5_4,Answer.curious6_1,Answer.curious6_2,Answer.curious6_3,Answer.curious6_4,Answer.curious7_1,Answer.curious7_2,Answer.curious7_3,Answer.curious7_4,Answer.curious8_1,Answer.curious8_2,Answer.curious8_3,Answer.curious8_4,Answer.curious9_1,Answer.curious9_2,Answer.curious9_3,Answer.curious9_4,Answer.summary1,Answer.summary10,Answer.summary2,Answer.summary3,Answer.summary4,Answer.summary5,Answer.summary6,Answer.summary7,Answer.summary8,Answer.summary9,Answer.trial10_HearEnd,Answer.trial1_HearEnd,Answer.trial2_HearEnd,Answer.trial3_HearEnd,Answer.trial4_HearEnd,Answer.trial5_HearEnd,Answer.trial6_HearEnd,Answer.trial7_HearEnd,Answer.trial8_HearEnd,Answer.trial9_HearEnd,Exclude
3WT783CTPCWKJX1QYELIIJS7QT2BCV,A3VHDQR8A9JJ4F,74,News8_start1_12fast.mp3,News8_sentence2_12fast.mp3,News8_sentence3_12fast.mp3,News8_sentence4_12fast.mp3,News8_end4_12fast.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,News6_start1_12fast.mp3,News6_sentence2_12fast.mp3,News6_sentence3_12fast.mp3,News6_sentence4_12fast.mp3,News6_end4_12fast.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,News13_start1_12slow.mp3,News13_sentence2_12slow.mp3,News13_sentence3_12slow.mp3,News13_sentence4_12slow.mp3,News13_end4_12slow.mp3,News12_start1_12fast.mp3,News12_sentence2_12fast.mp3,News12_sentence3_12fast.mp3,News12_sentence4_12fast.mp3,News12_end4_12fast.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News7_start1_12slow.mp3,News7_sentence2_12slow.mp3,News7_sentence3_12slow.mp3,News7_sentence4_12slow.mp3,News7_end4_12slow.mp3,News9_start1_12fast.mp3,News9_sentence2_12fast.mp3,News9_sentence3_12fast.mp3,News9_sentence4_12fast.mp3,News9_end4_12fast.mp3,News4_start1_12slow.mp3,News4_sentence2_12slow.mp3,News4_sentence3_12slow.mp3,News4_sentence4_12slow.mp3,News4_end4_12slow.mp3,28,consent,Non-Hispanic,Male,White,2,2,2,2,4,4,5,4,5,3,4,4,4,4,4,4,3,4,4,4,5,4,3,3,3,3,4,4,3,3,3,3,2,3,2,1,2,2,2,2,sean penn and his brother were hunting for elk when they encountered a bear,jimmy fallon fell and punched a painting due to being drunk,Justin Beiber climbed on top of a road sign and closed down a road he eventually was talked down,Danny Devito dressed up in a costume when he encountered cub-s and go close to them as people watched,tom cruise caused trouble as he was trying to catch his plane,Kayne West Burnt down a place in aspen while drink and eating nacho-s,will ferrell is going to eat only potatoes for a whole year,Russell crowe kicked and bit tom hanks over chili,Lindsay Lohan is suing Hasbro for making a toy hamster with her name and likeness,Mark Walbergh made a drone set to shoot flames to roast a turkey,no,no,no,no,no,no,no,no,no,no,no
34HJIJKLP6BWX7MHAG600XAQ17E4VS,A1KLJYA23TA0IS,41,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News4_start1_12fast.mp3,News4_sentence2_12fast.mp3,News4_sentence3_12fast.mp3,News4_sentence4_12fast.mp3,News4_end4_12fast.mp3,News7_start1_12fast.mp3,News7_sentence2_12fast.mp3,News7_sentence3_12fast.mp3,News7_sentence4_12fast.mp3,News7_end4_12fast.mp3,News5_start1_12slow.mp3,News5_sentence2_12slow.mp3,News5_sentence3_12slow.mp3,News5_sentence4_12slow.mp3,News5_end4_12slow.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,News6_start1_12fast.mp3,News6_sentence2_12fast.mp3,News6_sentence3_12fast.mp3,News6_sentence4_12fast.mp3,News6_end4_12fast.mp3,News12_start1_12slow.mp3,News12_sentence2_12slow.mp3,News12_sentence3_12slow.mp3,News12_sentence4_12slow.mp3,News12_end4_12slow.mp3,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,News8_start1_12slow.mp3,News8_sentence2_12slow.mp3,News8_sentence3_12slow.mp3,News8_sentence4_12slow.mp3,News8_end4_12slow.mp3,News9_start1_12fast.mp3,News9_sentence2_12fast.mp3,News9_sentence3_12fast.mp3,News9_sentence4_12fast.mp3,News9_end4_12fast.mp3,37,consent,Non-Hispanic,Female,White,5,6,6,4,7,7,4,7,4,4,4,4,1,1,1,1,1,1,6,4,1,1,3,2,6,6,4,4,6,4,4,4,5,5,1,6,4,4,4,4,Russel crow was drunk and got mad at Tom hanks for stirring the chilli on the stove. Russel hit and bite Tom Hanks.,Mark Wallberg uses drone to roast a turkey,Jimmy Falon was drunk and tripped and fell and ruined a very expensive piece of art.,Lindsey Lohan is suing Hasbro for making a rodent toy that resembles her.,Tom cruise charged with crime because he tried to catch a plane he was too late for,Justin beiber hanging from billboard blocking traffic,Danny Divito in a bear costume tries to approach a cubs and their mother,Will Ferrell has decided to eat only potatoes for a year,Kanye West burns down bar while drunk with the munchies,Shawn Penn was attacked by a bear when hunting. He shoved his arm into the bears mouth to gag bear,no,no,no,no,no,no,no,no,no,no,no
3TYCR1GOTDY94ZYCH5UK7KPXB4FZLG,A130UW3VJCW7A0,86,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,News7_start1_12slow.mp3,News7_sentence2_12slow.mp3,News7_sentence3_12slow.mp3,News7_sentence4_12slow.mp3,News7_end4_12slow.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,News12_start1_12fast.mp3,News12_sentence2_12fast.mp3,News12_sentence3_12fast.mp3,News12_sentence4_12fast.mp3,News12_end4_12fast.mp3,News2_start1_12fast.mp3,News2_sentence2_12fast.mp3,News2_sentence3_12fast.mp3,News2_sentence4_12fast.mp3,News2_end4_12fast.mp3,News9_start1_12slow.mp3,News9_sentence2_12slow.mp3,News9_sentence3_12slow.mp3,News9_sentence4_12slow.mp3,News9_end4_12slow.mp3,News6_start1_12slow.mp3,News6_sentence2_12slow.mp3,News6_sentence3_12slow.mp3,News6_sentence4_12slow.mp3,News6_end4_12slow.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,News8_start1_12slow.mp3,News8_sentence2_12slow.mp3,News8_sentence3_12slow.mp3,News8_sentence4_12slow.mp3,News8_end4_12slow.mp3,News4_start1_12fast.mp3,News4_sentence2_12fast.mp3,News4_sentence3_12fast.mp3,News4_sentence4_12fast.mp3,News4_end4_12fast.mp3,21,consent,Non-Hispanic,Female,White,1,1,1,1,1,1,1,1,1,1,1,1,5,5,6,6,4,4,3,4,6,6,6,6,1,1,1,1,4,4,5,4,1,1,1,1,5,5,5,4,Kanye West set fire to a restaurant in Aspen while drunk and making nachos.,A famous painting is back on display after a drunken Jimmy Fallon tripped and fell punching a hole through it.,Lindsay Lohan is suing Hasbro for producing a toy hamster that looks like her.,Tom Cruise is being charged after allegedly running onto the tarmac to stop his departing plane.,Will Ferrell is on a quest to eat nothing but potatoes a diet that resembles Matt Damon-s in The Martian.,Russell Crowe attacked his wife and Tom Hanks after Hanks stirred a pot of chili.,Mark Wahlberg used a drone to roast a turkey in his backyard or something. I found the story confusing.,Danny DeVito put on a bear costume and approached a grizzly bear and her cubs.,Justin Bieber sat atop a road sign and caused traffic delays but was eventually convinced to come down.,While elk hunting in the Rockies Sean Penn fended off a bear by shoving his arm down its throat and inducing a gag reflex.,no,no,no,yes,no,yes,no,yes,no,no,no
3GD6L00D3TCWFLVP96M7F3KAYUTM1H,y,45,News5_start1_12slow.mp3,News5_sentence2_12slow.mp3,News5_sentence3_12slow.mp3,News5_sentence4_12slow.mp3,News5_end4_12slow.mp3,News8_start1_12slow.mp3,News8_sentence2_12slow.mp3,News8_sentence3_12slow.mp3,News8_sentence4_12slow.mp3,News8_end4_12slow.mp3,News4_start1_12fast.mp3,News4_sentence2_12fast.mp3,News4_sentence3_12fast.mp3,News4_sentence4_12fast.mp3,News4_end4_12fast.mp3,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News12_start1_12slow.mp3,News12_sentence2_12slow.mp3,News12_sentence3_12slow.mp3,News12_sentence4_12slow.mp3,News12_end4_12slow.mp3,News3_start1_12fast.mp3,News3_sentence2_12fast.mp3,News3_sentence3_12fast.mp3,News3_sentence4_12fast.mp3,News3_end4_12fast.mp3,News9_start1_12fast.mp3,News9_sentence2_12fast.mp3,News9_sentence3_12fast.mp3,News9_sentence4_12fast.mp3,News9_end4_12fast.mp3,News6_start1_12fast.mp3,News6_sentence2_12fast.mp3,News6_sentence3_12fast.mp3,News6_sentence4_12fast.mp3,News6_end4_12fast.mp3,News7_start1_12slow.mp3,News7_sentence2_12slow.mp3,News7_sentence3_12slow.mp3,News7_sentence4_12slow.mp3,News7_end4_12slow.mp3,34,consent,Non-Hispanic,Male,White,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Tom Cruise heading to his high school reunion violated airport security and was charged with few counts of felony and misdemeanor.,An actress sued Hasbro for making a toy which resembles her.,Sean Penn encountered a grizzly bear while tracking along the rocky mountain and escaped the obvious aftermath by gagging the beast.,Someone accidentally made a hole in an Italian masterpiece exhibited in New York.,Someone unable to find fast food restaurants open made his own nachos.,Tom Hanks and Russell Crowe got into a brawl involving food items.,In a movie Matt Damon ended up eating only potato chips for a long period of time while stranded in planet Mars.,Justin Bieber was charged with obstructing traffic in Los Angeles.,A guy repeatedly causing trouble with drone activities - first filming a woman years earlier then now it involves a turkey in his backyard.,A guy wearing costume approached a grizzly bear with cubs while spectators were watching him from safe distance - he was charged with endangering himself.,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
38F5OAUN5OROYT9G7PN3O83RKVXH75,A1FK01GE7K8DBU,57,News7_start1_12slow.mp3,News7_sentence2_12slow.mp3,News7_sentence3_12slow.mp3,News7_sentence4_12slow.mp3,News7_end4_12slow.mp3,News9_start1_12slow.mp3,News9_sentence2_12slow.mp3,News9_sentence3_12slow.mp3,News9_sentence4_12slow.mp3,News9_end4_12slow.mp3,News6_start1_12fast.mp3,News6_sentence2_12fast.mp3,News6_sentence3_12fast.mp3,News6_sentence4_12fast.mp3,News6_end4_12fast.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,News4_start1_12fast.mp3,News4_sentence2_12fast.mp3,News4_sentence3_12fast.mp3,News4_sentence4_12fast.mp3,News4_end4_12fast.mp3,News12_start1_12fast.mp3,News12_sentence2_12fast.mp3,News12_sentence3_12fast.mp3,News12_sentence4_12fast.mp3,News12_end4_12fast.mp3,News5_start1_12slow.mp3,News5_sentence2_12slow.mp3,News5_sentence3_12slow.mp3,News5_sentence4_12slow.mp3,News5_end4_12slow.mp3,News8_start1_12fast.mp3,News8_sentence2_12fast.mp3,News8_sentence3_12fast.mp3,News8_sentence4_12fast.mp3,News8_end4_12fast.mp3,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,19,consent,Non-Hispanic,Female,Asian,1,1,1,1,1,1,1,1,4,3,3,2,2,2,1,2,5,4,5,4,4,3,2,1,1,1,1,1,5,4,4,4,1,1,1,1,2,1,1,1,Hasbro made a toy hamster named Lindsay Lohan and is being sued by Lindsay Lohan.,Kanye West broke into and set fire to a sports bar because he wanted nachos.,Actor Mark Walberg used a drone to light a turkey on fire.,Danny Devito dressed up as a bear and got close to actual bears.,Russell Crowe got drunk and bit Tom Hanks because he didn-t like that he was stirring chili.,Justin Bieber sat on a road sign and blocked traffic for hours.,Jimmy Fallon got drunk and punched a hole in a painting.,Will Ferrell is eating nothing but potatoes for all of 2016.,Tom Cruise was making a scene in an airport.,Sean Penn was going elk hunting and fended off a grizzly bear.,no,no,no,no,no,no,no,yes,no,no,no
30MVJZJNHNSO3ISZAMO8EHACSCKJ9H,A3HTLXAPOBCVVO,10,News13_start1_12slow.mp3,News13_sentence2_12slow.mp3,News13_sentence3_12slow.mp3,News13_sentence4_12slow.mp3,News13_end4_12slow.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,News9_start1_12fast.mp3,News9_sentence2_12fast.mp3,News9_sentence3_12fast.mp3,News9_sentence4_12fast.mp3,News9_end4_12fast.mp3,News6_start1_12fast.mp3,News6_sentence2_12fast.mp3,News6_sentence3_12fast.mp3,News6_sentence4_12fast.mp3,News6_end4_12fast.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News4_start1_12fast.mp3,News4_sentence2_12fast.mp3,News4_sentence3_12fast.mp3,News4_sentence4_12fast.mp3,News4_end4_12fast.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,News7_start1_12slow.mp3,News7_sentence2_12slow.mp3,News7_sentence3_12slow.mp3,News7_sentence4_12slow.mp3,News7_end4_12slow.mp3,News12_start1_12slow.mp3,News12_sentence2_12slow.mp3,News12_sentence3_12slow.mp3,News12_sentence4_12slow.mp3,News12_end4_12slow.mp3,News8_start1_12fast.mp3,News8_sentence2_12fast.mp3,News8_sentence3_12fast.mp3,News8_sentence4_12fast.mp3,News8_end4_12fast.mp3,45,consent,Non-Hispanic,Female,White,7,7,7,7,1,1,1,1,2,3,5,5,5,3,6,1,6,6,1,1,5,5,5,3,6,6,5,2,1,1,1,1,1,1,1,1,6,6,6,4,Kanye West got drunk and broke into a bar in Aspen to make nachos,Sean Penn and his brother were hunting elk in the Montana Rockies when they came across a grizzly.  Penn stuck his arm into the bear-s mouth to make it gag and scare it away.,58 yo Tom Cruise was late for flight to reunion broke thru door and ran out onto ramp,Mark Wahlberg used a drone with flame throwers to roast a turkey in his backyard,Danny Devito put on a bear suit and approached a bear and her cubs.,Tom Hans stirred a pot of chili and was attacked by a drunk Russel Crowe.,A tipsy Jimmy Fallon fell and punched a hole in the painting Flowers by Paolo... ruining at while it was on exhibit,Police had to close a highway at 3:30 in the afternoon because Justin Beiber climbed up a sign and was walking across traffic lanes.,"Delusional Lindsey Lohan sues Hasbro over a toy hamster that she says looks like her and has harmed her ""brand"".  In the words of Charlie Brown ""Good Grief""",Will Farrell was inspired by a starving astronaut (matt damon in Martian) to eat nothing but potatos for all of 2016 so he can lose weight.  This is how fad diets begin,yes,no,no,no,no,no,no,no,no,no,no
3907X2AHF1K9P9AYKQED1QOAV5Y2PQ,AJDXSXAWDDAEO,90,News9_start1_12fast.mp3,News9_sentence2_12fast.mp3,News9_sentence3_12fast.mp3,News9_sentence4_12fast.mp3,News9_end4_12fast.mp3,News6_start1_12slow.mp3,News6_sentence2_12slow.mp3,News6_sentence3_12slow.mp3,News6_sentence4_12slow.mp3,News6_end4_12slow.mp3,News12_start1_12slow.mp3,News12_sentence2_12slow.mp3,News12_sentence3_12slow.mp3,News12_sentence4_12slow.mp3,News12_end4_12slow.mp3,News7_start1_12slow.mp3,News7_sentence2_12slow.mp3,News7_sentence3_12slow.mp3,News7_sentence4_12slow.mp3,News7_end4_12slow.mp3,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,News8_start1_12fast.mp3,News8_sentence2_12fast.mp3,News8_sentence3_12fast.mp3,News8_sentence4_12fast.mp3,News8_end4_12fast.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,News4_start1_12slow.mp3,News4_sentence2_12slow.mp3,News4_sentence3_12slow.mp3,News4_sentence4_12slow.mp3,News4_end4_12slow.mp3,News2_start1_12fast.mp3,News2_sentence2_12fast.mp3,News2_sentence3_12fast.mp3,News2_sentence4_12fast.mp3,News2_end4_12fast.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,28,consent,Non-Hispanic,Male,White,4,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,Actor Mark mark wahlberg had used a drone to spy on his girlfriend and also made it to shoot flames and cook stuff in his backyard with,Justin Bieber climbed on top of a road sign and blocked the traffic on a Los Angeles highway,Danny Devito dressed up in a bear costume in a park for some unknown reason to get near bears and her cubs,Will Ferrell has made a choice to eat nothing but potatoes for 366 days,Lindsay Lohan is sueing a toy company for making a toy rodent that looks like her,Kanye West got drunk and was looking to make some nachos to eat and burned down a place in aspen,Sean penn while hunting for elk had to take down a grizzly bear,Tom cruise ran onto a concourse and was charged with a felony,A drunk Jimmy Fallon  tripped and fell and punched a whole into a famous painting,Russel Crowe bit and hit Tom Hanks because he was unhappy that he was stirring the chili,no,no,no,no,no,no,no,no,no,no,no
3G2UL9A02ET814PZB6WZRHE1BGF76Q,A2BIHX4X2ATLV7,59,News4_start1_12fast.mp3,News4_sentence2_12fast.mp3,News4_sentence3_12fast.mp3,News4_sentence4_12fast.mp3,News4_end4_12fast.mp3,News3_start1_12slow.mp3,News3_sentence2_12slow.mp3,News3_sentence3_12slow.mp3,News3_sentence4_12slow.mp3,News3_end4_12slow.mp3,News7_start1_12fast.mp3,News7_sentence2_12fast.mp3,News7_sentence3_12fast.mp3,News7_sentence4_12fast.mp3,News7_end4_12fast.mp3,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,News12_start1_12slow.mp3,News12_sentence2_12slow.mp3,News12_sentence3_12slow.mp3,News12_sentence4_12slow.mp3,News12_end4_12slow.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News9_start1_12fast.mp3,News9_sentence2_12fast.mp3,News9_sentence3_12fast.mp3,News9_sentence4_12fast.mp3,News9_end4_12fast.mp3,News8_start1_12slow.mp3,News8_sentence2_12slow.mp3,News8_sentence3_12slow.mp3,News8_sentence4_12slow.mp3,News8_end4_12slow.mp3,News6_start1_12slow.mp3,News6_sentence2_12slow.mp3,News6_sentence3_12slow.mp3,News6_sentence4_12slow.mp3,News6_end4_12slow.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,22,consent,Non-Hispanic,Male,White,6,6,5,6,6,6,6,6,7,6,6,6,7,7,6,6,6,6,6,6,7,7,7,7,6,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,Jimmy Fallon tripped and fell and punched a hole in the canvas of an expensive art piece.,Tom Cruise who was going to attend his high school reunion ran on the concourse of an airport.,Justin Bieber was hanging off a sign in the middle of the freeway. The police were there and Cedric Connelly convinced him to come down.,Lindsay Lohan has filed a lawsuit against the toy company Hasbro due to a hamster that was named after her and resembled her.,A drunken Kanye west set fire to a bar in an attempt to make nachos.,Will Ferrell has decided to eat nothing but potatoes in 2016.,Tom hanks and Russell Crowe got into a fight over a pot of chili.,Mark Wahlberg used a drone to roast turkeys.,Sean Penn was attacked by a bear but managed to fend off the attack by shoving his arm down the bear-s throat.,Danny DeVito decided to dress in a costume and get close to a grizzly bear and her cubs while bystanders watched from afar.,no,yes,yes,yes,yes,yes,no,no,no,no,no
3VBEN272MLEWHVYXBM3WYZNMS8SGSL,A2OFN0A5CPLH57,84,News13_start1_12fast.mp3,News13_sentence2_12fast.mp3,News13_sentence3_12fast.mp3,News13_sentence4_12fast.mp3,News13_end4_12fast.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News7_start1_12fast.mp3,News7_sentence2_12fast.mp3,News7_sentence3_12fast.mp3,News7_sentence4_12fast.mp3,News7_end4_12fast.mp3,News3_start1_12fast.mp3,News3_sentence2_12fast.mp3,News3_sentence3_12fast.mp3,News3_sentence4_12fast.mp3,News3_end4_12fast.mp3,News4_start1_12slow.mp3,News4_sentence2_12slow.mp3,News4_sentence3_12slow.mp3,News4_sentence4_12slow.mp3,News4_end4_12slow.mp3,News8_start1_12fast.mp3,News8_sentence2_12fast.mp3,News8_sentence3_12fast.mp3,News8_sentence4_12fast.mp3,News8_end4_12fast.mp3,News12_start1_12slow.mp3,News12_sentence2_12slow.mp3,News12_sentence3_12slow.mp3,News12_sentence4_12slow.mp3,News12_end4_12slow.mp3,News6_start1_12slow.mp3,News6_sentence2_12slow.mp3,News6_sentence3_12slow.mp3,News6_sentence4_12slow.mp3,News6_end4_12slow.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,News9_start1_12slow.mp3,News9_sentence2_12slow.mp3,News9_sentence3_12slow.mp3,News9_sentence4_12slow.mp3,News9_end4_12slow.mp3,32,consent,Non-Hispanic,Female,White,1,1,1,1,6,4,1,1,6,5,5,5,3,1,1,1,5,4,1,1,5,1,1,5,5,4,5,4,6,4,1,1,7,5,4,1,1,1,1,1,A person with the last name of West made nachos.  He searched for food at Wendy-s and another place that were closed.  He was drunk and broke into another place and had nachos.,Walburg and using drones to do a turkey roast.,There was a dispute between Crow and Tom Hanks over stirring a pot of chili.  Crow was intoxicated and mad that Hanks stirred the chili so he bit him.,Lindsy Lohan is filing a complaint against Hasboro Inc over a toy hamster that looks like her.,Justin Bieber caused traffic disruption when he climbed up a road sign and stayed up there for 2 hours.,Jimmy Fallon fell and punched a hole in a 1.54 million painting in an unusual accident.,Shawn Penn was hunting for elk and ran into a large grizzly bear.  He fought it off using the bears gag reflex,"Will Ferrill decided he was going to eat only potatoes for a full year after thinking he was a bit ""porky""",Danny Davido put on a bear costume and approached some bear cubs.  He got within about 10 feet of them.,Tom Cruise caused problems at an airport.,no,no,no,no,no,no,no,no,no,no,no
3HVVDCPGTF7XIMWCUSUSF4QCZNYYTS,ABX5OQLR6UNBC,77,News13_start1_12slow.mp3,News13_sentence2_12slow.mp3,News13_sentence3_12slow.mp3,News13_sentence4_12slow.mp3,News13_end4_12slow.mp3,News9_start1_12slow.mp3,News9_sentence2_12slow.mp3,News9_sentence3_12slow.mp3,News9_sentence4_12slow.mp3,News9_end4_12slow.mp3,News7_start1_12fast.mp3,News7_sentence2_12fast.mp3,News7_sentence3_12fast.mp3,News7_sentence4_12fast.mp3,News7_end4_12fast.mp3,News12_start1_12fast.mp3,News12_sentence2_12fast.mp3,News12_sentence3_12fast.mp3,News12_sentence4_12fast.mp3,News12_end4_12fast.mp3,News6_start1_12slow.mp3,News6_sentence2_12slow.mp3,News6_sentence3_12slow.mp3,News6_sentence4_12slow.mp3,News6_end4_12slow.mp3,News2_start1_12slow.mp3,News2_sentence2_12slow.mp3,News2_sentence3_12slow.mp3,News2_sentence4_12slow.mp3,News2_end4_12slow.mp3,News8_start1_12fast.mp3,News8_sentence2_12fast.mp3,News8_sentence3_12fast.mp3,News8_sentence4_12fast.mp3,News8_end4_12fast.mp3,News4_start1_12slow.mp3,News4_sentence2_12slow.mp3,News4_sentence3_12slow.mp3,News4_sentence4_12slow.mp3,News4_end4_12slow.mp3,News5_start1_12fast.mp3,News5_sentence2_12fast.mp3,News5_sentence3_12fast.mp3,News5_sentence4_12fast.mp3,News5_end4_12fast.mp3,News3_start1_12fast.mp3,News3_sentence2_12fast.mp3,News3_sentence3_12fast.mp3,News3_sentence4_12fast.mp3,News3_end4_12fast.mp3,42,consent,Non-Hispanic,Female,White,7,7,7,7,6,6,6,6,4,3,5,1,4,3,1,1,6,7,7,7,7,7,7,7,7,7,7,7,1,5,5,6,7,7,7,7,7,7,7,7,Kanye West on a drunken quest for food sought an open source for food and couldn-t find one. He then broke into a bar and grill drank more and set the place on fire while making nachos.,Bieber holds up traffic by climbing hanging out on road sign.,Mark Wahlberg used a flame-throwing drone to roast a turkey.,Lindsay Lohan is suing Hasbro believing they have a toy hamster patterned after her. She claims it degrades her and damages her image.,Will Ferrell is adopting a strictly potato diet for 2016.,Danny DaVito put on a bear costume and approached wild bears in Alaska.,Drunk actor gets annoyed at another actor for stirring chili attacks.,Actor hunting elk startles grizzly fends off attack by shoving arm in bear-s mouth.,Actor trips damages Masterpiece.,Entitled spoiled actor tries to stop plane leaving without him.,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no
